strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
130202100508,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110800060406,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130100020703,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130700071903,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150701020701,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110200090506,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110400010601,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111003010201,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150501000701,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150502010104,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200060302,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111201040102,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120301020201,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101900160501,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130600080104,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150400020605,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110500010602,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130201010907,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110800040306,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130700040302,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700040504,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150200070604,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130600030406,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130600080601,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150400020101,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111303020104,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202040602,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202040902,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130402090401,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111301040205,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130100030601,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110901040301,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130600050806,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120903010307,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101070202,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150502010402,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130201010607,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111002030402,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110200020804,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111303030504,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111302060102,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150200080405,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111002030301,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120702010905,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121002040204,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130402100203,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110500020708,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120902010402,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130402050305,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
140801060406,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120601050602,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110400050102,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111201010410,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120602020501,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121002020502,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130301020501,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200110103,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110200110406,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111302010503,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150200050403,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101800130203,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120902030401,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120800070103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110400080606,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111002010304,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120601010403,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111002030501,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
121101060604,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110400030308,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110200110101,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110800030608,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110800050407,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130700080101,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101800130107,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130600011308,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121002010307,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200040206,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111203040102,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120901050207,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700010904,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700060103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700060202,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700100104,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150200060402,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150701030410,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110300040305,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110300090101,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
121101110601,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150701020904,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900030503,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120702040110,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130800030308,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200070402,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150702030702,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130100020705,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202010304,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120601010603,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101500040301,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110200040201,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111201020104,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900020408,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110800010108,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202090201,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130900010203,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700040103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110300010307,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111201030608,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202040204,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130500010402,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150602020404,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120701010304,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101050502,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101050901,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101900180104,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900180305,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110902010604,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111002030403,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130201010207,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150501000710,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130301020210,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110800040608,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150200150411,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150501000201,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130202090601,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150200010204,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150503020302,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101402010405,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130403010207,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110500010303,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130700010406,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150200100102,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150503020305,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130403010306,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102100010804,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900130105,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130402090103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120800060702,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101800091405,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
121102040403,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130500031108,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150602020208,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
102100010802,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120601040302,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121002030501,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121102040102,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130402070103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
140801061403,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110800010512,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130800030708,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110400060601,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120701010204,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130403010305,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150702020101,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110800070802,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111302070103,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130500031805,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150602020706,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111302020208,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120800050104,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
140801061504,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150601030504,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
102600020201,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
102500020702,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120800021004,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121001020501,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120800050404,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102500020705,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202020503,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150503050103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150702011403,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130100021103,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900180604,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110902010206,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110902010407,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130201010703,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120702030105,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111203020212,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120301020503,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150200070205,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120901031002,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150200020608,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150503030604,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150702011003,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
102500030904,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110200030407,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110400020601,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111001040209,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120800050406,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101900010101,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120602010404,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150400040103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150701010205,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
102500030507,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120800050303,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120800080308,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102500130203,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130500040106,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130700070509,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150400030710,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200080501,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130301021003,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110300030207,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110300050201,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130403020106,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130600100203,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110500020503,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150601050310,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900031003,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120301010608,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130301030103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110901050306,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202050202,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130500020204,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102100020602,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
102500030403,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110300050302,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130403020103,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150701010601,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120800020701,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150601060107,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111001020104,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150803010406,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110200050902,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120602040105,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120901070605,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130202080407,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102500050302,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120500040208,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111002010202,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120800020607,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101040305,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
121101090205,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
150601060306,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110400020506,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120702010804,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110901030504,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120901070602,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
102600030302,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
102600050102,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202050606,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
130202050702,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
110300080102,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150502020104,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120601020207,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130600011101,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110901050204,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
120901090707,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
101900110109,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
101900160603,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
111203040205,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
150803010309,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
130301030402,bCASPx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
110901050402,bCASPx,1,1,1,4,Native,Known/extant,Breeding,Summer
